ID,Year,Work,Authors,Research stream,Core mechanism / contribution,Formalism / representation,Policy source,Uniqueness,Source-supported limitations,Reviewer-inferred limitations,Agent-security relevance,Relationship to Conflux,Conflux impact,Novelty impact,Priority,Review status,Claim-safe status,Primary/source URL,Connected IDs,Connected works,Recommended Conflux use,Full-review questions,Audit basis
N034,2003,Delegation Logic: A Logic-Based Approach to Distributed Authorization,Ninghui Li; Benjamin N. Grosof; Joan Feigenbaum,Delegation / trust management logic,"Treats authorization as proof of compliance and defines a logic for policies, credentials, requests and delegation in open distributed systems.",Delegation Logic,Distributed policy and credentials,Provides expressive logic semantics for chains and restrictions of delegated authority.,No provenance-based contamination or contextual information-flow model.,Delegating action authority should be separate from trusting data produced by the delegate; Conflux needs both concepts.,Important background for explicit delegation and authority transfer.,Supports modelling CreateDelegation as an ACS-controlled action distinct from ordinary permission possession.,Supports modelling CreateDelegation as an ACS-controlled action distinct from ordinary permission possession.,High,High,Verified primary,Publication-safe metadata,https://doi.org/10.1145/605434.605438,L037; N002; N033; L002,Access-control calculus; PolicyMaker; RT; Ponder,Formal delegation semantics and ActingFor distinction.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N035,1999,Stack Inspection: Theory and Variants / Java Stack Inspection Lineage,Dan S. Wallach; Andrew W. Appel; Edward W. Felten,Stack inspection / history-sensitive privilege,"Formal and practical analysis of stack inspection, where current privileges depend on the call stack and code-origin permissions.",Operational stack-walk security semantics,Code-source permissions and privileged-frame annotations,Made stack-dependent access checking a tractable object of formal analysis in mobile-code runtimes.,Call-stack provenance is explicit and syntactic; it does not capture semantic data influence.,"LLM execution erases ordinary call-stack causality, motivating explicit provenance propagation.",Immediate historical predecessor to execution-history rights and accumulated-origin privilege restriction.,Use alongside Abadi/Fournet to show lineage from stack -> execution history -> data/influence history.,Use alongside Abadi/Fournet to show lineage from stack -> execution history -> data/influence history.,Moderate,Medium,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://www.cs.princeton.edu/research/techreps/536,N001; L005; N031,Execution-history access control; privilege separation; Biba,Historical lineage only; verify exact citation before BibTeX insertion.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N036,2014,Temporal Logics for Hyperproperties (HyperLTL),Michael R. Clarkson; Bernd Finkbeiner; Masoud Koleini; Kristopher K. Micinski; Markus N. Rabe; César Sánchez,Hyperproperties / formal verification,Introduces temporal logics with explicit trace quantification for specifying information-flow and other hyperproperties.,HyperLTL / HyperCTL*,Formal relational security properties,Provides practical logical syntax for properties over multiple execution traces.,"Specification logic, not automatic agent semantics or enforcement; verification can be expensive.",Modeling what an agent/user can observe is as important as writing the HyperLTL formula.,Needed for SLED-V claims about observational confidentiality/noninterference rather than merely authorized reads.,Complements L033 Hyperproperties with a concrete specification language for future relational confidentiality checks.,Complements L033 Hyperproperties with a concrete specification language for future relational confidentiality checks.,Low,High,Needs exact bibliographic verification before publication,Needs citation verification before publication,https://arxiv.org/abs/1401.4492,L033; L034; L007,Hyperproperties; model checking; formal CI,SLED-V confidentiality/hyperproperty roadmap.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N037,2000,Counterexample-Guided Abstraction Refinement (CEGAR),Edmund M. Clarke; Orna Grumberg; Somesh Jha; Yuan Lu; Helmut Veith,Formal verification / abstraction,"Iteratively refines abstractions when abstract counterexamples are spurious, enabling scalable verification while preserving soundness.",Abstract transition systems + counterexample refinement,Verification model/property,"Canonical automated loop connecting abstraction, counterexample feasibility, and targeted refinement.",Refinement can diverge or scale poorly; useful abstractions are domain dependent.,"Conflux-specific abstractions must preserve PE/confidentiality semantics, especially provenance identity and policy state.",Potential SLED-V technique for large principal/resource/action spaces and rich policies.,Methodological tool rather than novelty comparator; could underpin scalable SLED-V.,Methodological tool rather than novelty comparator; could underpin scalable SLED-V.,Low,Medium,Needs exact canonical source verification before publication,Needs citation verification before publication,https://doi.org/10.1007/10722167_15,L034; L036; N013,model checking; IC3; PBAC,Verification optimization / research direction.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N038,2005,Dynamic Partial-Order Reduction for Model Checking Software,Cormac Flanagan; Patrice Godefroid,Formal verification / state-space reduction,Dynamically identifies dependent transitions and explores representative interleavings instead of all equivalent schedules.,Partial-order reduction / happens-before dependence,Transition dependence relation,Adaptive state-space reduction based on dependencies discovered during exploration.,Correctness depends on an accurate independence/dependence relation and property class.,"Shared call budgets, provenance, policy state or visible ordering can make apparently independent agent actions dependent.",Potentially major SLED-V optimization for independent tool calls/subagents/planning branches.,Useful SLED-V technique; any Conflux-specific reduction needs a preservation proof.,Useful SLED-V technique; any Conflux-specific reduction needs a preservation proof.,Low,Medium,Needs exact canonical source verification before publication,Needs citation verification before publication,https://doi.org/10.1145/1040305.1040315,L034; L036; N025,model checking; IC3; AgentThread,State-space reduction roadmap.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N039,2003,Capability Myths Demolished,Mark S. Miller; Ka-Ping Yee; Jonathan Shapiro,Capability security / least authority,"Clarifies object-capability semantics and rebuts common claims that capability systems inherently lack confinement, revocation, or least-privilege structure.",Object-capability security model / design analysis,Possession and delegation of unforgeable capabilities,"Influential clarification that capability authority is concrete, composable, delegable, and compatible with least authority.","Does not model natural-language influence, contextual norms, or policy discovery; capability distribution itself must be correct.",A capability held by an agent process can still be misused due to prompt injection unless capability acquisition/use is bound to influence semantics.,Capabilities are a natural alternative/complement to ACL-style ACS integration and explicit delegation for agents.,Useful to compare ACS-intersection authority with capability-based least authority and scoped delegation; Conflux should support capability-backed providers without conflating capabilities with provenance.,Useful to compare ACS-intersection authority with capability-based least authority and scoped delegation; Conflux should support capability-backed providers without conflating capabilities with provenance.,Moderate,High,Needs exact canonical citation verification before publication,Needs citation verification before publication,http://srl.cs.jhu.edu/pubs/SRL2003-02.pdf,L017; N034; N040,CaMeL capabilities; Delegation Logic; Capsicum,Capability/delegation design-space comparison.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N040,2010,Capsicum: Practical Capabilities for UNIX,Robert N. M. Watson; Jonathan Anderson; Ben Laurie; Kris Kennaway,Capability security / sandboxing,Introduces capability mode and capability-oriented descriptors for practical least-privilege sandboxing of UNIX applications.,OS capability mode / file-descriptor capabilities,Program decomposition and explicitly delegated descriptors,Demonstrates capabilities can be integrated into a mainstream UNIX API with practical compartmentalization.,Process/resource isolation does not decide which agent-generated action should be authorized.,"Conflux can use Capsicum-like confinement to reduce impact of mediator/executor bugs, but it does not replace the Principal Context decision rule.",Concrete production architecture for separating a model-facing process from a narrow effect executor with least-privilege capabilities.,Strong production-hardening reference for least-privilege executors and capability tokens.,Strong production-hardening reference for least-privilege executors and capability tokens.,Low,Medium,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://www.usenix.org/legacy/events/sec10/tech/full_papers/Watson.pdf,N039; L005; L017,Capability Myths; privilege separation; CaMeL,Production architecture / sandboxing background.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N041,2001,Why and Where: A Characterization of Data Provenance,Peter Buneman; Sanjeev Khanna; Wang-Chiew Tan,Data provenance foundations,"Distinguishes forms of database provenance such as why-provenance and where-provenance, formalizing what source data explains an output.",Relational-query provenance semantics,Database query/data lineage rather than security policy,Canonical distinction between different questions that the word “provenance” can mean.,Database query semantics are deterministic and structured; LLM semantic influence is not captured by relational lineage.,"Conflux should define exactly whether its provenance means authorship, possible influence, causal dependence, or derivation history rather than using “provenance” generically.",Important foundation for precise meanings of provenance and for separating source location from causal/explanatory contribution.,Strengthens terminology and motivates conservative “possible influence” provenance as distinct from exact causal provenance.,Strengthens terminology and motivates conservative “possible influence” provenance as distinct from exact causal provenance.,High,High,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://doi.org/10.1007/3-540-44503-X_20,N013; N014; L023; L025,PBAC; secure PBAC; FORGE; PACT,Provenance semantics/background and terminology discipline.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N042,2007,Provenance Semirings,Todd J. Green; Gregory Karvounarakis; Val Tannen,Data provenance / algebraic provenance,"Uses semiring annotations to provide a general algebra for relational data provenance, subsuming several lineage notions and supporting compositional derivations.",K-relations / commutative semirings,"Data derivation annotations, not authorization policy","Provides an algebraic, compositional foundation for provenance annotations across query operations.","Structured database operations, not opaque LLM transformations or security authority.",A principal-set union is deliberately much coarser than semiring provenance; richer provenance may improve attribution but complicate security-state reduction.,Relevant to compositional provenance propagation and whether richer provenance than principal sets is needed.,Useful if Conflux develops fine-grained explanation/attribution provenance separate from conservative security provenance.,Useful if Conflux develops fine-grained explanation/attribution provenance separate from conservative security provenance.,Moderate,Medium,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://doi.org/10.1145/1265530.1265535,N041; N013; L023,Why/where provenance; PBAC; FORGE,Fine-grained provenance/interpretability future work.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N043,1982,Security Policies and Security Models (Noninterference),Joseph A. Goguen; José Meseguer,Information-flow security / noninterference,Introduces noninterference-style reasoning in which actions of high/security domains should not affect observations of low domains except as permitted.,Trace/system behavior relation,Security-domain flow policy,Canonical semantic foundation for information-flow confidentiality independent of implementation mechanisms.,Classical domains/observations; does not directly encode organizational tool permissions or modern agent state.,Conflux’s no-unauthorized-read rule is weaker than observational confidentiality; SLED-V should not conflate them.,Foundational distinction between per-trace access checks and relational confidentiality guarantees.,Should underpin any claim about information exfiltration/noninterference beyond access safety.,Should underpin any claim about information exfiltration/noninterference beyond access safety.,High,High,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://www.cs.cornell.edu/courses/cs5430/2012sp/noninterference.pdf,L033; N036; N009,Hyperproperties; HyperLTL; robust declassification,Confidentiality semantics and SLED-V property taxonomy.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N044,1975,The Protection of Information in Computer Systems,Jerome H. Saltzer; Michael D. Schroeder,Security design principles / reference monitoring,"Systematizes security design principles including least privilege, complete mediation, separation of privilege, economy of mechanism, fail-safe defaults, and psychological acceptability.",Security architecture principles,System design and authorization mechanisms,Canonical synthesis of practical security principles that still structure modern reference-monitor designs.,Design principles rather than a formal agent threat model or executable policy language.,"Conflux’s novelty should be in its specific agent security semantics, not standard reference-monitor/least-privilege architecture.","Direct foundation for Conflux complete mediation, small TCB, fail-closed behavior, and least-privilege executor design.",Mandatory foundational citation for security-kernel architecture and claims about complete mediation/least privilege.,Mandatory foundational citation for security-kernel architecture and claims about complete mediation/least privilege.,High,High,Needs exact canonical citation verification before publication,Needs citation verification before publication,https://web.mit.edu/Saltzer/www/publications/protection/,L032; L005; L017; L023,Enforceable Security Policies; privilege separation; CaMeL; FORGE,Foundational system-security design section.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
